,Name,ID,Gender,Age,Genres,Popularity,Followers
0,Drake,3TVXtAsR1Inumwj472S9r4,male,33,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",95,83298497
1,Post Malone,246dkjvS1zLTtiykXe5h60,male,25,"['dfw rap', 'melodic rap', 'pop', 'rap']",86,43130108
2,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,male,29,"['pop', 'singer-songwriter pop', 'uk pop']",87,115998928
3,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,male,35,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",83,38028010
4,Bad Bunny,4q3ewBCX7sLwd24euuV69X,male,26,"['reggaeton', 'trap latino', 'urbano latino']",95,77931484
5,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,male,26,"['canadian pop', 'pop']",88,75112165
6,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,male,28,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",84,38192380
7,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,female,27,['pop'],88,95710972
8,Khalid,6LuN9FCkKOj5PcnpouEgny,male,22,"['pop', 'pop r&b']",81,16282583
9,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,male,43,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",84,34243502
10,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,male,28,"['hip hop', 'rap', 'slap house']",90,25672786
11,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,male,30,"['canadian contemporary r&b', 'canadian pop', 'pop']",93,75945958
12,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,male,20,"['emo rap', 'miami hip hop', 'rap']",84,43832734
13,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,female,18,"['art pop', 'pop']",86,89957369
14,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,mixed,8,['pop'],78,20578073
15,Anuel AA,2R21vXR83lH98kGeO99Y66,male,27,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",85,34229041
16,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,male,40,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",78,19298697
17,Maluma,1r4hJ1h58CWwUQe3MxPuau,male,26,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",83,34757640
18,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,female,23,"['dance pop', 'pop']",78,32327077
19,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,female,24,"['dance pop', 'pop', 'uk pop']",85,42549278
20,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,male,21,"['chicago rap', 'melodic rap', 'rap']",85,31741500
21,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,female,28,"['pop', 'post-teen pop']",81,47194902
22,Halsey,26VFTg2z8YR0cCuwLzESi2,female,25,"['electropop', 'etherpop', 'indie poptimism', 'pop']",79,21287602
23,Cardi B,4kYSro6naA4h99UJvo89HB,female,27,"['pop', 'rap']",77,22873770
24,Calvin Harris,7CajNmpbOovFoOoasH2HaY,male,36,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",83,23513482
25,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,female,37,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,30495805
26,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,male,21,"['canadian pop', 'pop', 'viral pop']",81,42978639
27,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,mixed,12,"['modern rock', 'pop', 'rock']",85,51594781
28,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,male,33,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",86,26350123
29,Sam Smith,2wY79sveU1sp5g7SokKOiI,other,28,"['pop', 'uk pop']",83,23538152
30,Future,1RyvyyTE3xzB2ZywiAwp0i,male,36,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",88,15561872
31,Farruko,329e4yvIujISKGKz1BZZbO,male,29,"['reggaeton', 'trap latino', 'urbano latino']",80,15882026
32,Maroon 5,04gDigrS5kc9YWfZHwBETP,mixed,18,['pop'],83,41996696
33,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,female,32,"['barbadian pop', 'pop', 'urban contemporary']",88,59152035
34,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,male,26,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",83,16381050
35,Kygo,23fqKkggKUBHNkbKtXEls4,male,28,"['edm', 'pop', 'pop dance', 'tropical house']",75,8457568
36,Marshmello,64KEffDW9EtZ1y2vBYgq8T,male,28,"['brostep', 'edm', 'pop', 'progressive electro house']",83,35223255
37,Quavo,0VRj0yCOv2FXJNP47XQnx5,male,29,"['atl hip hop', 'melodic rap', 'rap', 'trap']",77,7112408
38,21 Savage,1URnnhqYAYcrqrcwql10ft,male,27,"['atl hip hop', 'hip hop', 'rap']",88,15909838
39,DJ Snake,540vIaP2JwjQb9dm3aArA4,male,34,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",76,8808981
40,Young Thug,50co4Is1HCEo8bhOyUWKpn,male,28,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",82,9285032
41,Sia,5WUlDfRSoLAfcVSX1WnrxN,female,44,"['australian dance', 'australian pop', 'pop']",84,27476664
42,Sech,77ziqFxp5gaInVrF2lj4ht,male,26,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']",77,12113101
43,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,male,52,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,26584415
44,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,female,30,"['dance pop', 'pop']",78,8772065
45,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,male,0,"['melodic rap', 'rap', 'trap']",78,1926902
46,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,male,35,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",78,4861461
47,Eminem,7dGJo4pcD2V6oG8kP0tJRR,male,47,"['detroit hip hop', 'hip hop', 'rap']",89,79840061
48,Major Lazer,738wLrAtLtCtFOLvQBXOXp,mixed,12,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",74,6347918
49,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,mixed,23,"['permanent wave', 'pop']",86,48792512
50,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,male,34,"['dance pop', 'pop']",86,52946753
51,Migos,6oMuImdp5ZcFhWP0ESe6mG,mixed,12,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",75,13704065
52,Avicii,1vCWHaC5f2uS3yhpwWbIA6,male,28,"['dance pop', 'edm', 'pop', 'pop dance']",78,23305127
53,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,male,25,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",78,22817340
54,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,male,0,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",80,13433733
55,Taylor Swift,06HL4z0CvFAxyc27GXpf02,female,30,['pop'],100,95859165
56,KAROL G,790FomKkXshlbRYZFtlgla,female,29,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",88,42614177
57,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,male,40,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",77,6966304
58,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,,0,['pop'],77,11538588
59,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,male,42,"['latin pop', 'puerto rican pop']",71,11163849
60,DaBaby,4r63FhuTkUYltbVAg5TQnk,male,28,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",77,11474237
61,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,male,43,"['chicago rap', 'hip hop', 'rap']",90,22582692
62,Lil Baby,5f7VJjfbwm532GiveGC0ZK,male,25,"['atl hip hop', 'atl trap', 'rap', 'trap']",85,16126374
63,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,female,22,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",75,10492535
64,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,male,28,"['pop', 'viral pop']",79,22013348
65,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,male,35,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",85,22235668
66,ZEDDY WILL,1alf4P7GDe5aNpALBzWIGf,male,30,[],41,16145
