,Unnamed: 0,films,status,tagline,pg_val,original_language,production_companies,spoken_languages
0,0,Inception,Released,Your mind is the scene of the crime.,F,en,"Legendary Pictures, Syncopy, Warner Bros. Pictures","English, French, Japanese, Swahili"
1,1,Interstellar,Released,Mankind was born on Earth. It was never meant to die here.,False,en,"Legendary Pictures, Syncopy, Lynda Obst Productions",English
2,2,The Dark Knight,Released,Welcome to a world without rules.,F,en,"DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures","English, Mandarin"
3,3,Avatar,Released,Enter the world of Pandora.,F,en,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media","English, Spanish"
4,4,The Avengers,Released,Some assembly required.,F,en,Marvel Studios,"English, Hindi, Russian"
5,5,Deadpool,Released,Witness the beginning of a happy ending.,False,en,"20th Century Fox, The Donners' Company, Genre Films",English
6,6,Avengers: Infinity War,Released,An entire universe. Once and for all.,False,en,Marvel Studios,"English, Xhosa"
7,7,Fight Club,Released,Mischief. Mayhem. Soap.,F,en,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",English
8,8,Guardians of the Galaxy,Released,All heroes start somewhere.,F,en,Marvel Studios,English
9,9,Pulp Fiction,Released,Just because you are a character doesn't mean you have character.,False,en,"Miramax, A Band Apart, Jersey Films","English, Spanish, French"
10,10,Forrest Gump,Released,The world will never be the same once you've seen it through the eyes of Forrest Gump.,False,en,"Paramount, The Steve Tisch Company, Wendy Finerman Productions",English
11,11,Iron Man,Released,Heroes aren't born. They're built.,F,en,Marvel Studios,"English, Persian, Urdu, Arabic"
12,12,Django Unchained,Released,"Life, liberty and the pursuit of vengeance.",False,en,"The Weinstein Company, Columbia Pictures","English, French, German"
13,13,The Shawshank Redemption,Released,Fear can hold you prisoner. Hope can set you free.,F,en,Castle Rock Entertainment,English
14,14,Avengers: Endgame,Released,Avenge the fallen.,F,en,Marvel Studios,"English, Japanese, Xhosa"
15,15,The Matrix,Released,Welcome to the Real World.,False,en,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures",English
16,16,Titanic,Released,Nothing on Earth could come between them.,F,en,"Paramount, 20th Century Fox, Lightstorm Entertainment","English, French, German, Swedish, Italian, Russian"
17,17,Joker,Released,Put on a happy face.,False,en,"Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films",English
18,18,The Lord of the Rings: The Fellowship of the Ring,Released,One ring to rule them all,F,en,"New Line Cinema, WingNut Films, The Saul Zaentz Company",English
19,19,The Lord of the Rings: The Return of the King,Released,The eye of the enemy is moving.,F,en,"New Line Cinema, WingNut Films, The Saul Zaentz Company",English
20,20,Shutter Island,Released,Some places never let you go.,F,en,"Phoenix Pictures, Paramount, Appian Way, Sikelia Productions, Mandate International","English, German"
21,21,The Wolf of Wall Street,Released,Earn. Spend. Party.,F,en,"EMJAG Productions, Red Granite Pictures, Appian Way, Sikelia Productions","English, French"
22,22,Avengers: Age of Ultron,Released,A new age has come.,F,en,Marvel Studios,English
23,23,Captain America: Civil War,Released,United we stand. Divided we fall.,False,en,Marvel Studios,"Romanian, English, German, Russian"
24,24,The Dark Knight Rises,Released,The Legend Ends,F,en,"Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures",English
25,25,Black Panther,Released,Long live the king.,F,en,Marvel Studios,"English, Korean, Swahili, Xhosa"
26,26,Doctor Strange,Released,The impossibilities are endless.,F,en,Marvel Studios,English
27,27,Mad Max: Fury Road,Released,What a Lovely Day.,False,en,"Kennedy Miller Productions, Warner Bros. Pictures, RatPac Entertainment, Village Roadshow Pictures",English
28,28,Inglourious Basterds,Released,Once upon a time in Nazi occupied France...,F,en,"The Weinstein Company, Universal Pictures, A Band Apart, Zehnte Babelsberg Film, Visiona Romantica, Peninsula Films","German, English, French, Italian"
29,29,The Hunger Games,Released,May The Odds Be Ever In Your Favor.,False,en,"Lionsgate, Color Force",English
30,30,Spider-Man: Homecoming,Released,Homework can wait. The city can't.,F,en,"Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures",English
31,31,Harry Potter and the Chamber of Secrets,Released,Hogwarts is back in session.,False,en,"Warner Bros. Pictures, Heyday Films, 1492 Pictures",English
32,32,Guardians of the Galaxy Vol. 2,Released,Obviously.,F,en,Marvel Studios,English
33,33,The Lord of the Rings: The Two Towers,Released,A New Power Is Rising.,F,en,"New Line Cinema, WingNut Films, The Saul Zaentz Company",English
34,34,Captain America: The First Avenger,Released,When patriots become heroes,False,en,Marvel Studios,"French, Norwegian, English"
35,35,Suicide Squad,Released,Worst. Heroes. Ever.,False,en,"DC Entertainment, Dune Entertainment, Warner Bros. Pictures, Atlas Entertainment, DC Comics, DC Films, Lin Pictures","English, Japanese, Spanish"
36,36,Harry Potter and the Prisoner of Azkaban,Released,Something wicked this way comes.,False,en,"Warner Bros. Pictures, 1492 Pictures, Heyday Films, P of A Productions Limited",English
37,37,Thor,Released,Two worlds. One hero.,False,en,Marvel Studios,English
38,38,Iron Man 2,Released,"It's not the armor that makes the hero, but the man inside.",F,en,"Marvel Studios, Fairview Entertainment","English, Russian, French"
39,39,Batman Begins,Released,Evil fears the knight.,F,en,"Warner Bros. Pictures, DC Comics, Syncopy, Legendary Pictures, Patalex III Productions Limited","English, Urdu, Mandarin"
40,40,Thor: Ragnarok,Released,No hammer. No problem.,False,en,Marvel Studios,English
41,41,Inside Out,Released,Meet the little voices inside your head.,F,en,"Pixar, Walt Disney Pictures",English
42,42,Jurassic World,Released,The park is open.,F,en,"Amblin Entertainment, Universal Pictures",English
43,43,Se7en,Released,Seven deadly sins. Seven ways to die.,F,en,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",English
44,44,Harry Potter and the Goblet of Fire,Released,Dark And Difficult Times Lie Ahead.,F,en,"Warner Bros. Pictures, Heyday Films, Patalex IV Productions Limited","English, French"
