,names,Run Time,imdb_score,val,Writer,film
0,Top Gun: Maverick,"$170,000,000 (estimated)",8.6,187K,Jim Cash,Acorn and the Firestorm
1,Jurassic World Dominion,2 hours 27 minutes,6,56K,Emily Carmichael,Girl Hate
2,Top Gun,"$15,000,000 (estimated)",6.9,380K,Jim Cash,Poum Poum !
3,Lightyear,"$71,101,257",5.2,32K,Angus MacLane,"Attack, Decay, Release"
4,Spiderhead,not-released,5.4,23K,George Saunders,Raiders Of The Lost Gold
5,Everything Everywhere All at Once,2 hours 19 minutes,8.3,124K,Daniel Scheinert,情断失乐园
6,Interceptor,not-released,4.4,17K,Matthew Reilly,Jonathan Ross Presents for One Week Only: David Lynch
7,Interceptor,1 hour 30 minutes,3.6,819,Vasily Golovachov,Travestiler
8,Black Adam,not-released,no-rating,0,Adam Sztykiel,Believe in You
9,The Northman,"$60,000,000 (estimated)",7.2,128K,Sjón,Fast Action
10,Thor: Love and Thunder,not-released,8.2,926,Taika Waititi,The Security of Fear
11,Fantastic Beasts: The Secrets of Dumbledore,2 hours 22 minutes,6.2,100K,J.K. Rowling,The Troublemaker
12,The Unbearable Weight of Massive Talent,1 hour 47 minutes,7.1,43K,Tom Gormican,Slip Of The Tongue
13,Jurassic Park,"$63,000,000 (estimated)",8.2,958K,Michael Crichton,Dark Angel: The Ascent
14,Doctor Strange in the Multiverse of Madness,"$200,000,000 (estimated)",7.2,236K,Michael Waldron,What Is This
15,No Time to Die,"$250,000,000 (estimated)",7.3,367K,Neal Purvis,Graffiti Battle
16,The Batman,"$369,345,583",7.9,521K,Matt Reeves,Slab City ... A Very Special Place
17,Bullet Train,not-released,no-rating,0,Kôtarô Isaka,Queens Of Combat QOC 3
18,Bullet Train,not-released,6.8,1.3K,Ryûnosuke Ono,Fernando Py
19,Jurassic World,"$150,000,000 (estimated)",6.9,629K,Rick Jaffa,Builders of the Nation
20,Jurassic World: Fallen Kingdom,"$170,000,000 (estimated)",6.1,306K,Derek Connolly,Erotic Suspicions
21,Vikram,2 hours 55 minutes,8.8,24K,Lokesh Kanagaraj,The Hiccup
22,Morbius,"$75,000,000 (estimated)",5.1,83K,Matt Sazama,An Islington Resident
23,The Lost City,1 hour 52 minutes,6.2,70K,Adam Nee,A Robot Named Robot
24,Spider-Man: No Way Home,"$200,000,000 (estimated)",8.3,661K,Chris McKenna,Aleksander
25,Last Seen Alive,1 hour 35 minutes,5.6,6K,Marc Frydman,Havana 57
26,Sonic the Hedgehog 2,2 hours 2 minutes,6.6,48K,Pat Casey,The Years of Exile
27,Uncharted,1 hour 56 minutes,6.4,137K,Rafe Judkins,Les dépossédés
28,Prey,not-released,no-rating,0,Patrick Aison,Big White Dicks Fucking Big Chocolate Tits 2
29,Prey,not-released,5.2,961,Antoine Blossier,Louis Armstrong in Concert
30,Prey,1 hour 48 minutes,5.3,2.5K,Dick Maas,Fortune
31,Ambulance,2 hours 16 minutes,6.1,49K,Chris Fedak,At Cafe 6
32,Ambulance,1 hour 20 minutes,5.3,1.4K,Laurits Munch-Petersen,Giulio ciao
33,The Lost World: Jurassic Park,"$73,000,000 (estimated)",6.5,411K,Michael Crichton,Mary Magdalene
34,Dune,"$165,000,000 (estimated)",8,583K,Jon Spaihts,Love
35,Dune,"$40,000,000 (estimated)",6.3,160K,Frank Herbert,Bareback Cum Sluts 2
36,Jurassic Park III,"$93,000,000 (estimated)",5.9,318K,Michael Crichton,Janam
37,Star Wars,"$11,000,000 (estimated)",8.6,1.3M,George Lucas,Ghosts vs. Aliens 03
38,The Gray Man,not-released,no-rating,0,Joe Russo,Wet Dream
39,Avengers: Endgame,"$356,000,000 (estimated)",8.4,1.1M,Joe Russo,Kanun Benim
40,The Lady of Heaven,"$15,000,000 (estimated)",5.7,12K,Sheikh Al-Habib,SeXXXploitation Of Abigail Mac
41,Pirates of the Caribbean: The Curse of the Black Pearl,"$140,000,000 (estimated)",8.1,1.1M,Ted Elliott,Kinder des Satans
42,Eternals,"$200,000,000 (estimated)",6.3,314K,Chloé Zhao,The Man Who Came to Dinner
43,Free Guy,"$120,000,000 (estimated)",7.1,346K,Matt Lieberman,Follow You Follow Me
44,The Matrix Resurrections,"$190,000,000 (estimated)",5.7,232K,Lana Wachowski,Tears For Fears - Going To California
45,Mission: Impossible,"$80,000,000 (estimated)",7.1,418K,Bruce Geller,Alfred R. - ein Leben und ein Film
46,Memory,1 hour 54 minutes,5.6,10K,Dario Scardapane,Sanity: Live at 22
47,Memory,not-released,no-rating,0,Jessica Chastain,Hotel Stella Maris
48,Star Wars: Episode I - The Phantom Menace,"$115,000,000 (estimated)",6.5,788K,George Lucas,The Rattlesnake
49,The Adam Project,not-released,6.7,176K,Jonathan Tropper,¡Pega Martín pega!
