,title,budget,production_companies,popularity,imdb_score,names
0,Inception,9296,"Legendary Pictures, Syncopy, Warner Bros. Pictures",83.952,6.94,Stelvio
1,Interstellar,2117,"Legendary Pictures, Syncopy, Lynda Obst Productions",140.241,5.57,Through the Windows
2,The Dark Knight,1125,"DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures",130.643,3.15,Mabo no nankai funsenki
3,Avatar,6484,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media",79.932,7.61,Tricks of Trade
4,The Avengers,4613,Marvel Studios,98.082,6.84,The Well Builders
5,Deadpool,6299,"20th Century Fox, The Donners' Company, Genre Films",72.735,1.79,Noah - He Walked With God
6,Avengers: Infinity War,5762,Marvel Studios,154.34,9.53,Noblesse oblige
7,Fight Club,3649,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",69.498,8.93,From Centaur
8,Guardians of the Galaxy,6497,Marvel Studios,33.255,2.66,The Wonderful Wizard of Oz: The True Story
9,Pulp Fiction,8839,"Miramax, A Band Apart, Jersey Films",74.862,7.79,Punk and the Pistols
10,Forrest Gump,6686,"Paramount, The Steve Tisch Company, Wendy Finerman Productions",92.693,9.7,El Ceniciento
11,Iron Man,1766,Marvel Studios,72.897,1.58,Tora-san to the Rescue
12,Django Unchained,4762,"The Weinstein Company, Columbia Pictures",54.224,9.86,Kumbh Mela - The Greatest Show On Earth
13,The Shawshank Redemption,1415,Castle Rock Entertainment,122.61,2.1,Kai Ho Chamatkar
14,Avengers: Endgame,3198,Marvel Studios,91.756,4.7,An Irrepressible Woman
15,The Matrix,1671,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures",78.564,5.77,Maligno
16,Titanic,2157,"Paramount, 20th Century Fox, Lightstorm Entertainment",102.348,3.82,Manipulation
17,Joker,632,"Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films",54.522,6.43,"Lights, Camera, Wichita!"
18,The Lord of the Rings: The Fellowship of the Ring,331,"New Line Cinema, WingNut Films, The Saul Zaentz Company",87.037,1.54,Don't Be Cruel
19,The Lord of the Rings: The Return of the King,3349,"New Line Cinema, WingNut Films, The Saul Zaentz Company",99.276,5.42,Liverpool of the North
20,Shutter Island,9920,"Phoenix Pictures, Paramount, Appian Way, Sikelia Productions, Mandate International",56.595,2.4,Bigamie
21,The Wolf of Wall Street,9581,"EMJAG Productions, Red Granite Pictures, Appian Way, Sikelia Productions",97.444,6.7,"Discoveries...America, Louisiana"
22,Avengers: Age of Ultron,2810,Marvel Studios,96.565,2.55,American Wisper
23,Captain America: Civil War,9301,Marvel Studios,70.741,6.9,Heart Break Well
24,The Dark Knight Rises,8176,"Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures",76.914,7.0,Death Metal Murders
25,Black Panther,7442,Marvel Studios,43.665,7.28,Les fantômes du pétrole
26,Doctor Strange,9714,Marvel Studios,70.535,4.09,Jiayu Pass
27,Mad Max: Fury Road,8842,"Kennedy Miller Productions, Warner Bros. Pictures, RatPac Entertainment, Village Roadshow Pictures",78.319,3.66,Zorbanın Aşkı
28,Inglourious Basterds,8893,"The Weinstein Company, Universal Pictures, A Band Apart, Zehnte Babelsberg Film, Visiona Romantica, Peninsula Films",59.162,3.41,"Screen Snapshots (Series 23, No. 1): Hollywood in Uniform"
29,The Hunger Games,4164,"Lionsgate, Color Force",29.577,2.74,Hay hombres para todas
30,Spider-Man: Homecoming,4085,"Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures",65.88,7.36,"China 9, Liberty 37"
31,Harry Potter and the Chamber of Secrets,5382,"Warner Bros. Pictures, Heyday Films, 1492 Pictures",121.699,3.12,Kwepunha Liberia
32,Guardians of the Galaxy Vol. 2,4265,Marvel Studios,67.553,6.99,Dimevision Vol 1: That's The Fun I Have
33,The Lord of the Rings: The Two Towers,722,"New Line Cinema, WingNut Films, The Saul Zaentz Company",78.73,5.27,Pup Scouts
34,Captain America: The First Avenger,7606,Marvel Studios,43.665,3.17,The Inspector
35,Suicide Squad,8829,"DC Entertainment, Dune Entertainment, Warner Bros. Pictures, Atlas Entertainment, DC Comics, DC Films, Lin Pictures",35.356,5.66,Un hiver avec les garçons
36,Harry Potter and the Prisoner of Azkaban,1017,"Warner Bros. Pictures, 1492 Pictures, Heyday Films, P of A Productions Limited",124.386,3.89,Hell Raiders
37,Thor,6823,Marvel Studios,51.277,5.88,Katherine Jenkins: Believe Live from the O2
38,Iron Man 2,1848,"Marvel Studios, Fairview Entertainment",84.445,7.24,Kenny
39,Batman Begins,9284,"Warner Bros. Pictures, DC Comics, Syncopy, Legendary Pictures, Patalex III Productions Limited",66.286,2.49,"Saxifrages, Four White Nights"
40,Thor: Ragnarok,3223,Marvel Studios,45.2,8.38,On My Own
41,Inside Out,8943,"Pixar, Walt Disney Pictures",107.292,3.84,The Crumbs 3: Dad's Bright Idea
42,Jurassic World,7537,"Amblin Entertainment, Universal Pictures",54.089,8.17,Putting the River in Reverse
43,Se7en,7538,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",53.521,6.17,Among Big Cats and Anteaters - With Lydia Möcklinghoff in Brazil's wildlife
44,Harry Potter and the Goblet of Fire,1021,"Warner Bros. Pictures, Heyday Films, Patalex IV Productions Limited",134.276,6.27,Le printemps debout
45,Pirates of the Caribbean: The Curse of the Black Pearl,4057,"Walt Disney Pictures, Jerry Bruckheimer Films",80.509,5.45,The Kremlin: A Proletariat Manifesto
46,Harry Potter and the Deathly Hallows: Part 2,5381,"Warner Bros. Pictures, Heyday Films",110.974,6.82,مسرحية ودقى يا مزيكا
47,Star Wars,9472,"Lucasfilm Ltd., 20th Century Fox",88.559,5.54,100 Years of Scouting: The Official Centenary DVD
48,Wonder Woman,884,"Atlas Entertainment, Cruel & Unusual Films, DC Films",54.628,9.04,Castle of Sand
49,Up,2145,Pixar,90.968,6.49,My Darling Is a Foreigner
50,Ant-Man,7690,Marvel Studios,37.692,5.62,Banded Together: The Boys from Glen Rock High
51,The Godfather,4641,"Paramount, Alfran Productions",158.448,6.27,Shattered
52,The Martian,2734,"Scott Free Productions, Genre Films",76.0,6.83,Candidates
53,Back to the Future,2004,"Universal Pictures, Amblin Entertainment",62.543,3.05,Die Hölle von Montmartre
54,Spider-Man: No Way Home,3489,"Marvel Studios, Pascal Pictures, Columbia Pictures",186.065,1.71,Tineke Schouten: Moet Niet Gekker Worden!
55,Harry Potter and the Order of the Phoenix,7437,"Warner Bros. Pictures, Heyday Films",117.168,1.86,Arseny Tarkovsky: Eternal Presence
56,Harry Potter and the Half-Blood Prince,2497,"Warner Bros. Pictures, Heyday Films",121.735,4.14,90ML
57,Logan,2762,"Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox",54.194,1.78,Jacob's Pillow Ballet
58,Finding Nemo,3050,Pixar,55.456,3.44,Death The Final Journey Vol. 3
59,It,6095,"New Line Cinema, Vertigo Entertainment, Lin Pictures, KatzSmith Productions",74.73,9.74,Coheed and Cambria: Live at Rock in Rio USA
60,John Wick,8943,"87Eleven, DefyNite Films, MJW Films, Thunder Road",55.739,3.11,Torture
61,Fantastic Beasts and Where to Find Them,9960,"Heyday Films, Warner Bros. Pictures",46.103,8.08,東京やくざ抗争
62,Harry Potter and the Deathly Hallows: Part 1,9364,"Warner Bros. Pictures, Heyday Films",111.984,9.35,Good Faith
63,Coco,4554,"Pixar, Walt Disney Pictures",166.578,1.41,Gustne Gensyn
64,Captain America: The Winter Soldier,7241,Marvel Studios,31.482,8.94,Le conflit gazier en mer Egee
65,Spider-Man,6221,"Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",63.478,6.34,Gal Who Awakens to Libido
66,WALL·E,2487,"Pixar, Walt Disney Pictures",58.517,2.49,Got Wood?
67,Gone Girl,5109,"Regency Enterprises, New Regency Pictures, Pacific Standard, TSG Entertainment, Artemple - Hollywood, 20th Century Fox",46.611,7.4,Oom Ferdinand en de toverdrank
68,The Hobbit: An Unexpected Journey,9556,"Warner Bros. Pictures, Metro-Goldwyn-Mayer, New Line Cinema, WingNut Films",83.524,3.93,C'est Papa qui a pris la purge
69,"Monsters, Inc.",3292,Pixar,86.936,2.72,Ebony Tales 2: Creampie
70,Toy Story,8905,Pixar,78.404,1.45,Madrugada amaldiçoada
71,The Revenant,7806,"Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment",36.747,8.28,A Commonplace Story
72,Batman v Superman: Dawn of Justice,228,"Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, Cruel & Unusual Films, DC Entertainment, Syncopy",78.589,4.67,Pivotal
73,The Lion King,2724,"Walt Disney Pictures, Walt Disney Feature Animation",87.384,8.05,Susuk Nyi Roro Kidul
74,Gladiator,8101,"Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, C & L, Dawliz, DreamWorks Pictures",53.587,3.87,Kakadu
75,The Truman Show,1886,"Paramount, Scott Rudin Productions",42.954,4.45,The Christmas Secret
76,The Incredibles,147,"Pixar, Walt Disney Pictures",62.609,2.49,Operation Paperclip: The Secret Recruitment
77,Arrival,580,"FilmNation Entertainment, Lava Bear Films, Reliance Entertainment, Xenolinguistics, 21 Laps Entertainment, Paramount, Stage 6 Films",47.983,9.55,Promised Land
78,Parasite,2602,Barunson E&A,64.627,9.09,Pornogothic
79,Thor: The Dark World,434,Marvel Studios,59.968,1.02,Kinder der Nacht
80,The Amazing Spider-Man,7563,"Marvel Entertainment, Laura Ziskin Productions, Columbia Pictures, Matt Tolmach Productions, Arad Productions",78.989,6.38,Leyli and Majnoon
81,Split,7262,"Universal Pictures, Blinding Edge Pictures, Blumhouse Productions",44.51,2.47,The Gandhi Murder
82,Deadpool 2,407,"Maximum Effort, Genre Films, 20th Century Fox",66.096,2.66,Midnight Lovers
83,The Shining,9021,"Hawk Films, Peregrine, Producers Circle, Warner Bros. Pictures",45.252,2.83,Film 21
84,Kill Bill: Vol. 1,5812,"Miramax, A Band Apart, Super Cool ManChu",36.315,6.18,Things
85,The Hunger Games: Catching Fire,9972,"Lionsgate, Color Force",49.864,4.48,Generation C
86,The Intouchables,6692,"Gaumont, CinéCinéma, Quad Productions, Chaocorp, Ten Films, TF1, Canal+, TF1 Films Production",41.656,6.46,Reel 3: Guatemala - 1940
87,Get Out,9924,"Monkeypaw Productions, Blumhouse Productions, QC Entertainment",36.442,5.9,La lucarne magique
